d_A025,d_A026,d_A001,A026-A076-001,A026-A076-002,A026-014,A026-012,A026-011,A025-009,A026-A009-001,A026-A009-002,A026-A009-005,A026-A009-003,A026-A009-007,A026-A009-006,A026-027,A026-A089-001,A026-A089-002,A026-006,A026-010,A026-A001-001,A026-A001-002,A026-A001-003
0001-20090401-18-1-1-463,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090401-18-1-1-463,1,,,,,,,,726,Travel expenses,account,,,,debit,18572,ISO4217:JPY,2009-04-01,旅費,,,
0001-20090401-18-1-1-463,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090401-18-1-1-463,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,928,ISO4217:JPY,2009-04-01,,,,
0001-20090401-18-1-1-463,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090401-18-1-1-463,3,,,,,,,,111,Cash,account,,,,credit,19500,ISO4217:JPY,2009-04-01,旅費,,,
0001-20090401-18-1-1-463,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090401-246-2-1-465,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090401-246-2-1-465,1,,,,,,,,726,Travel expenses,account,,,,debit,9524,ISO4217:JPY,2009-04-01,旅費,,,
0001-20090401-246-2-1-465,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090401-246-2-1-465,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,476,ISO4217:JPY,2009-04-01,,,,
0001-20090401-246-2-1-465,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090401-246-2-1-465,3,,,,,,,,111,Cash,account,,,,credit,10000,ISO4217:JPY,2009-04-01,旅費,,,
0001-20090401-246-2-1-465,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090402-122-5-1-471,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090402-122-5-1-471,1,,,,,,,,727,Communication cost,account,,,,debit,1000,ISO4217:JPY,2009-04-02,証明書発行手数料,,,
0001-20090402-122-5-1-471,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090402-122-5-1-471,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,50,ISO4217:JPY,2009-04-02,,,,
0001-20090402-122-5-1-471,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090402-122-5-1-471,3,,,,,,,,111,Cash,account,,,,credit,1050,ISO4217:JPY,2009-04-02,証明書発行手数料,,,
0001-20090402-122-5-1-471,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090402-142-6-1-473,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090402-142-6-1-473,1,,,,,,,,740,Vehicle costs,account,,,,debit,2458,ISO4217:JPY,2009-04-02,高速代,,,
0001-20090402-142-6-1-473,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090402-142-6-1-473,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,122,ISO4217:JPY,2009-04-02,,,,
0001-20090402-142-6-1-473,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090402-142-6-1-473,3,,,,,,,,111,Cash,account,,,,credit,14050,ISO4217:JPY,2009-04-02,高速代,,,
0001-20090402-142-6-1-473,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090402-142-6-1-473,4,,,,,,,,740,Vehicle costs,account,,,,debit,591,ISO4217:JPY,2009-04-02,駐車代,,,
0001-20090402-142-6-1-473,4,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090402-142-6-1-473,5,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,29,ISO4217:JPY,2009-04-02,,,,
0001-20090402-142-6-1-473,5,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090402-142-6-1-473,6,,,,,,,,740,Vehicle costs,account,,,,debit,4620,ISO4217:JPY,2009-04-02,ガソリン代,,,
0001-20090402-142-6-1-473,6,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090402-142-6-1-473,7,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,230,ISO4217:JPY,2009-04-02,,,,
0001-20090402-142-6-1-473,7,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090402-142-6-1-473,8,,,,,,,,740,Vehicle costs,account,,,,debit,5715,ISO4217:JPY,2009-04-02,洗車券代,,,
0001-20090402-142-6-1-473,8,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090402-142-6-1-473,9,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,285,ISO4217:JPY,2009-04-02,,,,
0001-20090402-142-6-1-473,9,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090402-19-3-1-467,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090402-19-3-1-467,1,,,,,,,,726,Travel expenses,account,,,,debit,10477,ISO4217:JPY,2009-04-02,旅費,,,
0001-20090402-19-3-1-467,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090402-19-3-1-467,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,523,ISO4217:JPY,2009-04-02,,,,
0001-20090402-19-3-1-467,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090402-19-3-1-467,3,,,,,,,,111,Cash,account,,,,credit,11000,ISO4217:JPY,2009-04-02,旅費,,,
0001-20090402-19-3-1-467,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090402-68-4-1-469,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090402-68-4-1-469,1,,,,,,,,791,Miscellaneous expenses,account,,,,debit,2829,ISO4217:JPY,2009-04-02,トイレットペーパー他,,,
0001-20090402-68-4-1-469,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090402-68-4-1-469,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,141,ISO4217:JPY,2009-04-02,,,,
0001-20090402-68-4-1-469,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090402-68-4-1-469,3,,,,,,,,111,Cash,account,,,,credit,2970,ISO4217:JPY,2009-04-02,トイレットペーパー他,,,
0001-20090402-68-4-1-469,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090403-134-8-1-477,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090403-134-8-1-477,1,,,,,,,,754,Office consumables expenses,account,,,,debit,14858,ISO4217:JPY,2009-04-03,用紙,,,
0001-20090403-134-8-1-477,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090403-134-8-1-477,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,742,ISO4217:JPY,2009-04-03,,,,
0001-20090403-134-8-1-477,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090403-134-8-1-477,3,,,,,,,,111,Cash,account,,,,credit,15600,ISO4217:JPY,2009-04-03,用紙,,,
0001-20090403-134-8-1-477,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090403-41-7-1-475,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090403-41-7-1-475,1,,,,,,,,733,Entertainment expenses,account,,,,debit,12000,ISO4217:JPY,2009-04-03,結婚式会費,,,
0001-20090403-41-7-1-475,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090403-41-7-1-475,2,,,,,,,,111,Cash,account,,,,credit,12000,ISO4217:JPY,2009-04-03,結婚式会費,,,
0001-20090403-41-7-1-475,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090404-310-9-1-479,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090404-310-9-1-479,1,,,,,,,,740,Vehicle costs,account,,,,debit,6486,ISO4217:JPY,2009-04-04,ガソリン代,,,
0001-20090404-310-9-1-479,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090404-310-9-1-479,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,324,ISO4217:JPY,2009-04-04,,,,
0001-20090404-310-9-1-479,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090404-310-9-1-479,3,,,,,,,,111,Cash,account,,,,credit,18270,ISO4217:JPY,2009-04-04,ガソリン代,,,
0001-20090404-310-9-1-479,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090404-310-9-1-479,4,,,,,,,,740,Vehicle costs,account,,,,debit,9715,ISO4217:JPY,2009-04-04,高速代,,,
0001-20090404-310-9-1-479,4,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090404-310-9-1-479,5,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,485,ISO4217:JPY,2009-04-04,,,,
0001-20090404-310-9-1-479,5,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090404-310-9-1-479,6,,,,,,,,740,Vehicle costs,account,,,,debit,1200,ISO4217:JPY,2009-04-04,駐車代,,,
0001-20090404-310-9-1-479,6,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090404-310-9-1-479,7,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,60,ISO4217:JPY,2009-04-04,,,,
0001-20090404-310-9-1-479,7,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-133-11-1-483,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090405-133-11-1-483,1,,,,,,,,746,Payment reward,account,,,,debit,133058,ISO4217:JPY,2009-04-05,税理士報酬,,,
0001-20090405-133-11-1-483,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-133-11-1-483,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,6652,ISO4217:JPY,2009-04-05,,,,
0001-20090405-133-11-1-483,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-133-11-1-483,3,,,,,,,,131,Ordinary deposit,account,,,,credit,139710,ISO4217:JPY,2009-04-05,税理士報酬,,,
0001-20090405-133-11-1-483,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-133-11-1-483,3,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-139-12-1-485,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090405-139-12-1-485,1,,,,,,,,724,Welfare expense,account,,,,debit,52981,ISO4217:JPY,2009-04-05,制服代,,,
0001-20090405-139-12-1-485,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-139-12-1-485,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,2649,ISO4217:JPY,2009-04-05,,,,
0001-20090405-139-12-1-485,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-139-12-1-485,3,,,,,,,,322,Credit card accounts payable,account,,,,credit,55630,ISO4217:JPY,2009-04-05,制服代,,,
0001-20090405-139-12-1-485,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-254-13-1-487,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090405-254-13-1-487,1,,,,,,,,131,Ordinary deposit,account,,,,debit,2959035,ISO4217:JPY,2009-04-05,09年4月5日伝票No190株式会社　渡辺産業,,,
0001-20090405-254-13-1-487,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-254-13-1-487,1,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-254-13-1-487,2,,,,,,,,152,Accounts receivable,account,,,,credit,2959035,ISO4217:JPY,2009-04-05,09年4月5日伝票No190株式会社　渡辺産業,,,
