d_A025,d_A026,d_A001,A025-001,A025-A026-008,A025-A026-007,A025-A027-002,I,A026-A076-001,A026-A076-002,A026-A076-003,A025-A001-001,A025-A001-002,A025-A001-003,P,Q,R,S,A026-014,A026-012,A026-011,A025-009,A025-002,Y,A026-003,A026-A009-002,A026-A009-005,A026-A009-003,A026-A009-007,A026-A009-006,A026-027,A026-A089-001,A026-A089-002,A026-006,A026-013,AM,A026-010,A026-A001-001,A026-A001-002,A026-A001-003,A026-A001-004,
,,,Journal_ID,JE_Type_Code,Journal_Line_Number,Source_Description,language,Type(Created),Created_User_ID,Created_Date,organization Identifier,organization Description,,organization Address Name,organization Address Street,organization Address Zip Or Postal Code,organization Address Country,Bill_Date,Bill_Number,Source_Code,JE_Header_Description,Journal_Number,entryType,GL_Account_Number,GL_Account_Name,Account_Type,GL_Account_Description,Account_Hierarchy,Account_Subtype,Credit_Debit_Indicator,Functional_Amount,Functional_Currency_Code,Effective_Date,Bill_Type_Code,xbrlElement,JE_Line_Description,Business_Segment_Code,Business_Segment_Name,,Organization_Type_Name,
0001-20090401-18-1-1-463,,,0001-20090401-18-1-1-463,entries,1-463,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:37:58,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,246,standard,,,,,,,,,,,,,,,,,,
0001-20090401-18-1-1-463,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,726,Travel expenses,account,,,,debit,18572,ISO4217:JPY,2009-04-01,proposed,TravelingExpense,旅費,,,,,
0001-20090401-18-1-1-463,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Sapporo,10,Department,,,,,,,,,,,,
0001-20090401-18-1-1-463,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,928,ISO4217:JPY,2009-04-01,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20090401-18-1-1-463,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Sapporo,10,Department,,,,,,,,,,,,
0001-20090401-18-1-1-463,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,111,Cash,account,,,,credit,19500,ISO4217:JPY,2009-04-01,proposed,CashHand,旅費,,,,,
0001-20090401-18-1-1-463,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090401-246-2-1-465,,,0001-20090401-246-2-1-465,entries,2-465,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:37:58,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,246,standard,,,,,,,,,,,,,,,,,,
0001-20090401-246-2-1-465,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,726,Travel expenses,account,,,,debit,9524,ISO4217:JPY,2009-04-01,proposed,TravelingExpense,旅費,,,,,
0001-20090401-246-2-1-465,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya,30,Department,,,,,,,,,,,,
0001-20090401-246-2-1-465,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,476,ISO4217:JPY,2009-04-01,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20090401-246-2-1-465,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya,30,Department,,,,,,,,,,,,
0001-20090401-246-2-1-465,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,111,Cash,account,,,,credit,10000,ISO4217:JPY,2009-04-01,proposed,CashHand,旅費,,,,,
0001-20090401-246-2-1-465,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090402-122-5-1-471,,,0001-20090402-122-5-1-471,entries,5-471,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:37:58,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,122,standard,,,,,,,,,,,,,,,,,,
0001-20090402-122-5-1-471,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,727,Communication cost,account,,,,debit,1000,ISO4217:JPY,2009-04-02,proposed,CommunicationCost,証明書発行手数料,,,,,
0001-20090402-122-5-1-471,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090402-122-5-1-471,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,50,ISO4217:JPY,2009-04-02,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20090402-122-5-1-471,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090402-122-5-1-471,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,111,Cash,account,,,,credit,1050,ISO4217:JPY,2009-04-02,proposed,CashHand,証明書発行手数料,,,,,
0001-20090402-122-5-1-471,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090402-142-6-1-473,,,0001-20090402-142-6-1-473,entries,6-473,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:37:58,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,142,standard,,,,,,,,,,,,,,,,,,
0001-20090402-142-6-1-473,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,740,Vehicle costs,account,,,,debit,2458,ISO4217:JPY,2009-04-02,proposed,VehiclesExpense,高速代,,,,,
0001-20090402-142-6-1-473,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090402-142-6-1-473,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,122,ISO4217:JPY,2009-04-02,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
