id,bie,level,card,classTerm,propertyTerm,representation,associatedClass
AP01-00,ABIE,1,__,Account Payable Adjustment,,,
AP01-01,PKBIE,2,1..1,Account Payable Adjustment,Adjustment ID,Identifier,
AP01-02,BBIE,2,0..1,Account Payable Adjustment,Adjustment Number,Text,
AP01-03,BBIE,2,0..1,Account Payable Adjustment,Adjustment Type Name,Text,
AP01-04,BBIE,2,0..1,Account Payable Adjustment,Adjustment Document Number,Text,
AP01-05,RFBIE,2,0..1,Account Payable Adjustment,Invoice ID,,Invoice Received
AP01-06,RFBIE,2,0..1,Account Payable Adjustment,Journal ID,,GL Details
AP01-07,RFBIE,2,0..1,Account Payable Adjustment,Fiscal Year,,Accounting Period
AP01-08,RFBIE,2,0..1,Account Payable Adjustment,Accounting Period,,Accounting Period
AP01-09,BBIE,2,0..1,Account Payable Adjustment,Adjustment Date,Date,
AP01-10,RFBIE,2,0..1,Account Payable Adjustment,Supplier Account ID,,Supplier
AP01-11,RFBIE,2,0..1,Account Payable Adjustment,GL Debit Account Number,,Chart Of Accounts
AP01-12,RFBIE,2,0..1,Account Payable Adjustment,GL Credit Account Number,,Chart Of Accounts
AP01-13,ASBIE,2,0..1,Account Payable Adjustment,has a,,Adjustment Amount
AP01_CC04-00,SPCC,2,__,Adjustment Amount,is a,,Monetary Amounts
AP01_CC04_CC24-00,ACC,3,__,Monetary Amounts,,,
AP01_CC04_CC24-01,BCC,4,0..1,Monetary Amounts,Functional Amount,Amount,
AP01_CC04_CC24-02,RFCC,4,0..1,Monetary Amounts,Functional Currency Code,,Currency
AP01_CC04_CC24-03,BCC,4,0..1,Monetary Amounts,Transaction Amount,Amount,
AP01_CC04_CC24-04,RFCC,4,0..1,Monetary Amounts,Transaction Currency Code,,Currency
AP01_CC04_CC24-05,BCC,4,0..1,Monetary Amounts,Reporting Amount,Amount,
AP01_CC04_CC24-06,RFCC,4,0..1,Monetary Amounts,Reporting Currency Code,,Currency
AP01_CC04_CC24-07,BCC,4,0..1,Monetary Amounts,Local Amount,Amount,
AP01_CC04_CC24-08,RFCC,4,0..1,Monetary Amounts,Local Currency Code,,Currency
AP01-14,ASBIE,2,0..1,Account Payable Adjustment,was,,Approved
AP01_CC06-00,SPCC,2,__,Approved,is a,,Activity
AP01_CC06_CC02-00,ACC,3,__,Activity,,,
